year,run_number,time_idx,RMSE,ME
2009,1,32,5.697063308097376,1.9478175850567925
2009,2,32,5.329765543692804,1.7582038432084839
2010,1,32,4.954296943638069,0.7828916533219682
2010,2,32,4.91780130120056,0.9842649876115942
2011,1,32,5.7030857660832925,-0.8905213520025751
2011,2,32,5.722863494428888,-0.706942255178075
2012,1,32,6.6551511478749115,1.9474236207558797
2012,2,32,6.665399410893745,2.003209555659313
2013,1,32,5.4038262368090875,-0.7064261900871706
2013,2,32,5.354101530372744,-0.19764933566497678
2014,1,32,5.507363479417255,0.27381077404768683
2014,2,32,5.523164541438014,0.831946616230706
2015,1,32,6.045510355175121,3.66679568311655
2015,2,32,5.7954235018210385,3.213397806594871
